Optimizer,N,M,Lambda,L2_Error,Model_Path
GD,1000,1000,10.0,,models\GD-1000-1000-10p0.pt
GD,1000,1000,1.0,0.12281224579903727,models\GD-1000-1000-1p0.pt
GD,1000,1000,50.0,,models\GD-1000-1000-50p0.pt
GD,1000,200,0.1,0.21245121706722297,models\GD-1000-200-0p1.pt
GD,1000,200,10.0,,models\GD-1000-200-10p0.pt
GD,1000,200,1.0,0.999956565868819,models\GD-1000-200-1p0.pt
GD,1000,200,50.0,,models\GD-1000-200-50p0.pt
GD,1000,400,0.1,0.9999761770648812,models\GD-1000-400-0p1.pt
GD,1000,400,10.0,,models\GD-1000-400-10p0.pt
GD,1000,400,1.0,0.1644572458351323,models\GD-1000-400-1p0.pt
GD,1000,400,50.0,,models\GD-1000-400-50p0.pt
GD,2000,100,0.1,1.0024253863034667,models\GD-2000-100-0p1.pt
GD,2000,100,10.0,,models\GD-2000-100-10p0.pt
GD,2000,100,1.0,0.9999508230016638,models\GD-2000-100-1p0.pt
GD,2000,100,50.0,,models\GD-2000-100-50p0.pt
GD,2000,1000,0.1,0.10771734765899497,models\GD-2000-1000-0p1.pt
GD,2000,1000,10.0,,models\GD-2000-1000-10p0.pt
GD,2000,1000,1.0,0.31927421727713895,models\GD-2000-1000-1p0.pt
GD,2000,1000,50.0,,models\GD-2000-1000-50p0.pt
GD,2000,200,0.1,0.13196855515352934,models\GD-2000-200-0p1.pt
GD,2000,200,10.0,,models\GD-2000-200-10p0.pt
GD,2000,200,1.0,0.9999603597323528,models\GD-2000-200-1p0.pt
GD,2000,200,50.0,,models\GD-2000-200-50p0.pt
GD,2000,400,0.1,0.20576985764335676,models\GD-2000-400-0p1.pt
GD,2000,400,10.0,,models\GD-2000-400-10p0.pt
GD,2000,400,1.0,0.9999000335829695,models\GD-2000-400-1p0.pt
GD,2000,400,50.0,,models\GD-2000-400-50p0.pt
GD,400,100,0.1,0.9981213058316216,models\GD-400-100-0p1.pt
GD,400,100,10.0,,models\GD-400-100-10p0.pt
GD,400,100,1.0,1.002171521537103,models\GD-400-100-1p0.pt
GD,400,100,50.0,,models\GD-400-100-50p0.pt
GD,400,1000,0.1,0.9976376284434648,models\GD-400-1000-0p1.pt
GD,400,1000,10.0,,models\GD-400-1000-10p0.pt
GD,400,1000,1.0,0.9999876569658038,models\GD-400-1000-1p0.pt
GD,400,1000,50.0,,models\GD-400-1000-50p0.pt
GD,400,200,0.1,0.1298732550298455,models\GD-400-200-0p1.pt
GD,400,200,10.0,,models\GD-400-200-10p0.pt
GD,400,200,1.0,0.9999951095129547,models\GD-400-200-1p0.pt
GD,400,200,50.0,,models\GD-400-200-50p0.pt
